76, 90, 92, 83, 96, 77, 78
80, 70, 99, 71, 72, 97, 81
81, 75, 73, 85, 78, 86, 85
95, 93, 81, 75, 81, 95, 93
87, 94, 100, 84, 84, 100, 82
93, 98, 90, 74, 92, 83, 96
95, 77, 94, 88, 91, 92, 73
87, 70, 88, 94, 91, 96, 78
71, 90, 87, 99, 74, 81, 92
83, 81, 72, 89, 74, 79, 81
80, 95, 96, 92, 82, 75, 78
83, 92, 75, 80, 71, 87, 77
97, 84, 85, 91, 96, 87, 98
100, 96, 98, 80, 94, 100, 100
77, 72, 83, 85, 87, 83, 96
77, 71, 72, 70, 85, 98, 85
99, 86, 82, 71, 78, 80, 97
85, 90, 75, 81, 84, 75, 78
89, 82, 91, 73, 76, 100, 97
80, 85, 77, 96, 91, 74, 76
92, 71, 90, 79, 83, 98, 83
75, 93, 84, 71, 79, 82, 71
77, 95, 70, 85, 82, 84, 91
71, 77, 96, 94, 86, 98, 99
73, 96, 98, 97, 85, 85, 92
75, 88, 72, 88, 86, 90, 75
70, 93, 72, 100, 85, 97, 76
91, 98, 77, 86, 90, 96, 74
98, 91, 86, 74, 96, 81, 77
96, 74, 94, 93, 70, 82, 98
70, 83, 84, 87, 70, 79, 93
88, 77, 97, 88, 79, 80, 91
93, 80, 98, 91, 95, 99, 73
84, 79, 92, 90, 96, 82, 92
82, 74, 74, 87, 85, 77, 77
99, 95, 100, 76, 91, 82, 88
98, 97, 90, 83, 96, 84, 82
76, 91, 72, 98, 70, 95, 88
96, 100, 78, 82, 93, 73, 95
98, 85, 76, 100, 88, 85, 72
91, 94, 83, 94, 90, 86, 87
78, 79, 83, 98, 99, 74, 79
85, 98, 71, 90, 100, 81, 95
93, 89, 85, 91, 90, 77, 98
89, 99, 72, 89, 87, 74, 80
82, 87, 78, 95, 93, 81, 94
92, 96, 82, 88, 91, 97, 81
88, 84, 78, 77, 93, 76, 95
79, 98, 96, 79, 78, 83, 87
73, 79, 78, 73, 75, 78, 97
72, 96, 96, 94, 74, 77, 89
84, 89, 75, 88, 80, 91, 87
